발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,사고위치,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2018-12-31 20:28,포항,영해,키손상,정비불량,황천5급,1,9,0,0,0,호미곶 북동 6해리,36|09|00,129|38|00,어선,49,,,,
2018-12-31 13:37,인천,영해,안전저해,운항부주의,양호,1,2,0,0,0,인천 영흥도 북서방 0.7해리 해상,37|17|36,126|26|49,어선,9.77,,,,
2018-12-31 11:31,여수,항계내,추진기손상,정비불량,양호,1,2,0,0,0,고흥군 소록도 소록선착장 남동방 50m 해상,34|29|57,127|08|04,어선,1.03,,,,
2018-12-31 02:57,목포,항계내,접촉,운항부주의,양호,2,13,0,0,0,진도군 서망항 항내,000|00|00,000|00|00,어선,29,어선,4.96,,
2018-12-30 16:45,완도,영해,운항저해,정비불량,양호,1,2,0,0,0,장흥군 노력도 동방 인근 해상,34|17|16,126|58|04,어선,0.8,,,,
2018-12-30 14:22,부산,영해,기관손상,정비불량,양호,1,81,0,0,0,"부산, 남외항 N-5 투묘지",35|03|32,129|02|42,어선,3114,,,,
2018-12-30 14:06,울산,항계내,기관손상,정비불량,양호,1,3,0,0,0,온산항 입구 중앙방파제 인근 해상(35-26.58N 129-22.45E),35|26|58,129|22|45,어선,0.99,,,,
2018-12-30 13:12,포항,영해-EEZ,운항저해,연료고갈,황천5급,1,10,0,0,0,독도 남서 37해리,36|45|00,131|23|00,어선,89,,,,
2018-12-30 12:05,통영,영해,화재,정비불량,양호,1,9,0,0,0,통영시 홍도 남방 0.3해리 해상,34|31|00,128|43|00,낚시어선,9.77,,,,
2018-12-30 04:30,서귀포,EEZ 30마일 이내,기관손상,정비불량,양호,1,10,0,0,0,서귀포 남서방 125해리,31|14|00,125|56|00,어선,37,,,,
2018-12-29 20:53,제주,영해-EEZ,인명사상,기타,황천2급,1,1,0,0,0,차귀도 남서방 15해리,33|11|27,125|51|49,어선,29,,,,
2018-12-29 13:12,평택,영해,키손상,정비불량,풍랑주의보,1,2,0,0,0,경기도 화성시 우정읍 소재 입파도 북서방,37|10|37,126|27|51,기타,118,,,,
2018-12-29 06:30,서귀포,항계내,접촉,운항부주의,양호,2,0,0,0,0,서귀포항 제4부두,33|14|20,126|33|40,어선,69,어선,67,,
2018-12-29 06:05,울산,항계내,접촉,운항부주의,양호,1,7,0,0,0,범월갑방파제 앞 해상(Fix 35-25N 129-22E),35|25|00,129|22|00,유조선,507,,,,
2018-12-28 18:27,부산,영해,기관손상,정비불량,양호,1,8,0,0,0,"부산, 남형제도 남동방 7해리",34|45|07,128|59|08,어선,138,,,,
2018-12-28 15:22,제주,영해,침수,관리소홀,황천3급,1,0,0,0,0,용수포구 북서방 1.4해리,33|19|54,126|08|19,기타,1088,,,,
2018-12-28 09:27,제주,영해-EEZ,안전저해,운항부주의,황천2급,1,11,0,0,0,차귀도 남서 73해리,32|34|00,125|00|00,화물선,597,,,,
2018-12-27 16:04,보령,영해,침수,정비불량,양호,1,0,0,0,0,충남 보령시 대천항 선외기 부두,36|19|39,126|30|50,어선,1.1,,,,
2018-12-27 12:35,제주,영해-EEZ,안전저해,운항부주의,황천3급,1,4,0,0,0,차귀도 남서방 76해리,32|36|00,124|53|00,예부선,299,,,,
2018-12-27 09:46,목포,항계내,침수,관리소홀,양호,1,0,0,0,0,목포시 북항 4부두,000|00|00,000|00|00,어선,7.93,,,,
